versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.src.org.hsqldb,CompiledStatementExecutor,843,8,58,10
2007,base.trunk.src.org.hsqldb.jdbc,jdbcSQLXML,990,13,96,9
2008,base.trunk.src.org.hsqldb,CompiledStatement,566,6,40,9
2007,base.trunk.src.org.hsqldb,Library,1074,5,48,24
2007,base.trunk.test.org.hsqldb.jdbc,jdbcDatabaseMetaDataTest,2145,8,54,7
2008,base.trunk.src.org.hsqldb.cmdline.sqltool,SqlFileScanner,760,5,33,9
2008,base.trunk.src.org.hsqldb.persist,ScaledRAFile,353,28,181,11
2008,base.trunk.src.org.hsqldb.types,BlobDataMemory,120,2,13,7
2008,base.trunk.src.org.hsqldb.lib,MultiValueHashMap,112,14,135,18
2008,base.trunk.src.org.hsqldb.test,TestLibSpeed,166,5,55,24
2008,base.trunk.src.org.hsqldb.util.preprocessor,Token,62,4,25,7
2007,base.trunk.src.org.hsqldb.lib,LongDeque,153,6,55,23
2008,base.trunk.src.org.hsqldb.test,TestQuotes,93,2,11,6
2007,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,170,5,31,8
2007,base.trunk.src.org.hsqldb.scriptio,ScriptWriterZipped,34,1,6,6
2007,base.trunk.src.org.hsqldb.types,ClobDataID,78,4,24,7
2007,base.trunk.src.org.hsqldb.lib,BaseList,100,1,9,9
2007,base.trunk.src.org.hsqldb.test,TestMerge,239,19,147,26
2007,base.trunk.src.org.hsqldb.navigator,DataRowSetNavigator,338,6,40,9
2008,base.trunk.src.org.hsqldb.scriptio,ScriptWriterText,174,5,40,8
2008,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,170,5,32,8
2008,base.trunk.src.org.hsqldb.test,TestAllTypes,297,10,57,9
2007,base.trunk.src.org.hsqldb,TransactionManager,182,2,12,6
2007,base.trunk.src.org.hsqldb.dbinfo,DIProcedureInfo,412,1,7,7
2007,base.trunk.src.org.hsqldb,Parser,2645,37,215,11
2007,base.trunk.src.org.hsqldb,Tokenizer,626,4,28,9
2008,base.trunk.src.org.hsqldb.types,BitType,281,24,194,19
2008,base.trunk.src.org.hsqldb.util,ZaurusChoice,59,2,12,7
2007,base.trunk.src.org.hsqldb.test,TestSqlPersistent,257,4,21,6
2007,base.trunk.test.org.hsqldb.jdbc,jdbcSavepointTest,63,4,25,8
2007,base.trunk.src.org.hsqldb.test,TestHarness,178,6,32,6
2007,base.trunk.src.org.hsqldb.jdbc,jdbcBlob,239,8,63,9
2008,base.trunk.src.org.hsqldb.persist,Logger,199,1,5,5
2008,base.trunk.src.org.hsqldb.test,TestGroupByHaving,187,7,48,9
2007,base.trunk.src.org.hsqldb.types,OtherType,88,9,54,8
2008,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,63,2,15,9
2007,base.trunk.src.org.hsqldb.test,TestStoredProcedure,65,2,11,6
2007,base.trunk.src.org.hsqldb.test,TestUtil,455,17,119,12
2007,base.trunk.src.org.hsqldb.test,TestBatchExecution,225,6,43,10
2007,base.trunk.src.org.hsqldb,Table,1834,10,66,7
2007,base.trunk.src.org.hsqldb.jdbc.pool,ManagedPoolDataSource,517,5,35,9
2008,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,1888,37,310,38
2008,base.trunk.src.org.hsqldb,TableUtil,101,2,12,6
2008,base.trunk.src.org.hsqldb.scriptio,ScriptReaderBase,82,2,11,6
2008,base.trunk.src.org.hsqldb.lib,DoubleIntIndex,396,18,133,11
2008,base.trunk.src.org.hsqldb.test,TestBug808460,35,2,11,6
2007,base.trunk.src.org.hsqldb.lib,ZipUnzipFile,92,4,26,8
2008,base.trunk.src.org.hsqldb,HsqlDateTime,401,2,22,11
2008,base.trunk.src.org.hsqldb.util,CSVWriter,55,1,5,5
