index,year,package,className,direction
0,2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextLog,From
1,2007,base.trunk.src.org.hsqldb.rowio,RowOutputTextLog,To
2,2007,base.trunk.src.org.hsqldb.util,DatabaseManager,From
3,2007,base.trunk.src.org.hsqldb.util,DatabaseManager,To
4,2007,base.trunk.src.org.hsqldb.dbinfo,DITableInfo,From
5,2007,base.trunk.src.org.hsqldb.dbinfo,DITableInfo,To
6,2007,base.trunk.src.org.hsqldb.jdbc,jdbcCallableStatement,From
7,2007,base.trunk.src.org.hsqldb.jdbc,jdbcCallableStatement,To
8,2007,base.trunk.src.org.hsqldb.jdbc.pool,JDBCXADataSource,From
9,2007,base.trunk.src.org.hsqldb.jdbc.pool,JDBCXADataSource,To
10,2007,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,From
11,2007,base.trunk.src.org.hsqldb.util,HsqldbTransferHelper,To
12,2007,base.trunk.src.org.hsqldb.navigator,DataRowSetNavigator,From
13,2007,base.trunk.src.org.hsqldb.navigator,DataRowSetNavigator,To
14,2007,base.trunk.src.org.hsqldb.util,TransferDb,From
15,2007,base.trunk.src.org.hsqldb.util,TransferDb,To
16,2007,base.trunk.src.org.hsqldb.test,TestQuotes,From
17,2007,base.trunk.src.org.hsqldb.test,TestQuotes,To
18,2007,base.trunk.src.org.hsqldb.server,WebServer,From
19,2007,base.trunk.src.org.hsqldb.server,WebServer,To
20,2007,base.trunk.src.org.hsqldb.types,Type,From
21,2007,base.trunk.src.org.hsqldb.types,Type,To
22,2007,base.trunk.src.org.hsqldb,GroupedResult,From
23,2007,base.trunk.src.org.hsqldb,GroupedResult,To
24,2007,base.trunk.src.org.hsqldb.util,ConnectionDialog,From
25,2007,base.trunk.src.org.hsqldb.util,ConnectionDialog,To
26,2007,base.trunk.src.org.hsqldb,Parser,From
27,2007,base.trunk.src.org.hsqldb,Parser,To
28,2007,base.trunk.test.org.hsqldb.jdbc,jdbcPreparedStatementTest,From
29,2007,base.trunk.test.org.hsqldb.jdbc,jdbcPreparedStatementTest,To
30,2007,base.trunk.src.org.hsqldb.util,ScriptTool,From
31,2007,base.trunk.src.org.hsqldb.util,ScriptTool,To
32,2007,base.trunk.src.org.hsqldb.test,TestGroupByHaving,From
33,2007,base.trunk.src.org.hsqldb.test,TestGroupByHaving,To
34,2007,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,From
35,2007,base.trunk.src.org.hsqldb.lib,OrderedIntHashSet,To
36,2007,base.trunk.src.org.hsqldb.lib,HashMap,From
37,2007,base.trunk.src.org.hsqldb.lib,HashMap,To
38,2007,base.trunk.src.org.hsqldb.persist,TextCache,From
39,2007,base.trunk.src.org.hsqldb.persist,TextCache,To
40,2007,base.trunk.src.org.hsqldb,NumberSequence,From
41,2007,base.trunk.src.org.hsqldb,NumberSequence,To
42,2007,base.trunk.src.org.hsqldb.lib,OrderedHashSet,From
43,2007,base.trunk.src.org.hsqldb.lib,OrderedHashSet,To
44,2007,base.trunk.src.org.hsqldb.lib,HsqlDeque,From
45,2007,base.trunk.src.org.hsqldb.lib,HsqlDeque,To
46,2007,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,From
47,2007,base.trunk.src.org.hsqldb.lib,IntKeyIntValueHashMap,To
48,2007,base.trunk.src.org.hsqldb.store,ReusableObjectCache,From
49,2007,base.trunk.src.org.hsqldb.store,ReusableObjectCache,To
50,2007,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,From
51,2007,base.trunk.src.org.hsqldb.lib,LongKeyLongValueHashMap,To
52,2007,base.trunk.src.org.hsqldb.jdbc.pool,ManagedPoolDataSource,From
53,2007,base.trunk.src.org.hsqldb.jdbc.pool,ManagedPoolDataSource,To
54,2007,base.trunk.src.org.hsqldb.util,Transfer,From
55,2007,base.trunk.src.org.hsqldb.util,Transfer,To
56,2007,base.trunk.src.org.hsqldb.test,TestBug1191815,From
57,2007,base.trunk.src.org.hsqldb.test,TestBug1191815,To
58,2007,base.trunk.src.org.hsqldb.test,TestHashStructures,From
59,2007,base.trunk.src.org.hsqldb.test,TestHashStructures,To
60,2007,base.trunk.src.org.hsqldb.lib,HashMappedList,From
61,2007,base.trunk.src.org.hsqldb.lib,HashMappedList,To
62,2007,base.trunk.src.org.hsqldb.jdbc,jdbcParameterMetaData,From
63,2007,base.trunk.src.org.hsqldb.jdbc,jdbcParameterMetaData,To
64,2007,base.trunk.src.org.hsqldb.rowio,RowInputBase,From
65,2007,base.trunk.src.org.hsqldb.rowio,RowInputBase,To
66,2007,base.trunk.src.org.hsqldb.types,BooleanType,From
67,2007,base.trunk.src.org.hsqldb.types,BooleanType,To
68,2007,base.trunk.src.org.hsqldb.lib,ArrayUtil,From
69,2007,base.trunk.src.org.hsqldb.lib,ArrayUtil,To
70,2007,base.trunk.src.org.hsqldb,Library,From
71,2007,base.trunk.src.org.hsqldb,Library,To
72,2007,base.trunk.src.org.hsqldb.rowio,RowOutputBase,From
73,2007,base.trunk.src.org.hsqldb.rowio,RowOutputBase,To
74,2007,base.trunk.src.org.hsqldb.util,SqlFile,From
75,2007,base.trunk.src.org.hsqldb.util,SqlFile,To
