source,target,originLocation,destLocation,duplicateSize
230,163,"|java+compilationUnit:///base/trunk/src/org/hsqldb/sample/FindFile.java|(3409,178,<69,0>,<74,26>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestTimestamp.java|(1625,178,<33,0>,<38,26>)",5
182,3,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManagerSwing.java|(41266,258,<1101,0>,<1107,44>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(18153,258,<593,0>,<599,44>)",5
206,193,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BinaryType.java|(9883,198,<326,0>,<333,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BlobType.java|(3309,198,<113,0>,<120,9>)",5
36,51,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(4805,248,<181,0>,<191,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(4252,248,<157,0>,<167,41>)",7
278,173,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(56580,101,<1467,0>,<1474,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(85803,101,<2088,0>,<2095,5>)",5
284,365,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/OtherType.java|(3752,177,<134,0>,<142,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(4021,178,<138,0>,<147,9>)",6
168,63,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcConnection.java|(129516,1357,<3167,0>,<3193,88>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcParameterMetaData.java|(10569,1377,<279,0>,<305,88>)",5
210,87,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobDataRemoteClient.java|(3034,120,<89,0>,<97,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobDataID.java|(3382,120,<111,0>,<119,5>)",6
286,95,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcClobTest.java|(2110,165,<51,0>,<58,25>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDataSourceFactoryTest.java|(2104,165,<49,0>,<56,25>)",5
172,279,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(85765,139,<2087,0>,<2095,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(98886,139,<2503,0>,<2511,5>)",6
