version,location,text
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyHashMap.java|(4489,506,<166,0>,<188,29>)","        }

        public boolean contains(Object o) {
            throw new RuntimeException();
        }

        public boolean add(Object value) {
            throw new RuntimeException();
        }

        public boolean addAll(Collection c) {
            throw new RuntimeException();
        }

        public boolean remove(Object o) {
            throw new RuntimeException();
        }

        public boolean isEmpty() {
            return size() == 0;
        }

        public void clear() {
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/rowio/RowInputBinary.java|(5933,197,<192,0>,<199,69>)","        if (s == null) {
            return null;
        }

        return new ClobDataMemory(s.toCharArray(), false);
    }

    protected BlobData readBlob() throws IOException, HsqlException {
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/navigator/DataRowSetNavigator.java|(12912,228,<505,0>,<516,1>)","                return false;
            }
        }

        return true;
    }

    private boolean equals(Object o1, Object o2) {
        return (o1 == null) ? o2 == null
                            : o1.equals(o2);
    }
}
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongDeque.java|(3149,205,<100,0>,<107,9>)","        firstindex++;
        elementCount--;

        if (elementCount == 0) {
            firstindex = endindex = 0;
        } else if (firstindex == list.length) {
            firstindex = 0;
        }
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestJDBCSavepoints.java|(16791,158,<503,0>,<509,1>)","        failures = result.failures();

        while (failures.hasMoreElements()) {
            System.out.println(failures.nextElement());
        }
    }
}
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/scriptio/ScriptWriterBinary.java|(1629,176,<33,0>,<39,24>)","import java.io.IOException;

import org.hsqldb.Database;
import org.hsqldb.HsqlException;
import org.hsqldb.NumberSequence;
import org.hsqldb.Session;
import org.hsqldb.Table;
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(2060,211,<50,0>,<57,36>)","    }

    public int displaySize() {
        return precision > Integer.MAX_VALUE ? Integer.MAX_VALUE
                                             : (int) precision;
    }

    public int getJDBCTypeNumber() {
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcPreparedStatement.java|(2345,201,<64,0>,<72,24>)","import java.sql.NClob;
import java.sql.RowId;
import java.sql.SQLXML;

//#endif JDBC4
import org.hsqldb.HsqlDateTime;
import org.hsqldb.HsqlException;
import org.hsqldb.Trace;
import org.hsqldb.Types;
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestAllTypes.java|(12088,306,<332,0>,<338,68>)","                    slow = true;
                }

                if (reportProgress && (i + 1) % 10000 == 0
                        || (slow && (i + 1) % 100 == 0)) {
                    System.out.println(""Select "" + (i + 1) + "" : ""
                                       + sw.elapsedTime() + "" rps: ""
"
2007,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcBlob.java|(25824,1794,<644,0>,<685,62>)","                } catch (SQLException se) {
                    throw new java.io.IOException(se.toString());
                } finally {
                    super.close();
                }
            }
        };
    }

    /**
     * Truncates the <code>BLOB</code> value that this <code>Blob</code>
     * object represents to be <code>len</code> bytes in length.
     * <p>
     * <b>Note:</b> If the value specified for <code>pos</code>
     * is greater then the length+1 of the <code>BLOB</code> value then the
     * behavior is undefined. Some JDBC drivers may throw a
     * <code>SQLException</code> while other drivers may support this
     * operation.
     *
     * <!-- start release-specific documentation -->
     * <div class=""ReleaseSpecificDocumentation"">
     * <h3>HSQLDB-Specific Information:</h3> <p>
     *
     * This operation affects only the client-side value; it has no effect upon
     * a value stored in the database. To reflect an updated value in a
     * database, it is required to use an updating setXXX method of an
     * updating Prepared or Callable Statement, or to use an updateXXX method
     * of and updateable ResultSet. <p>
     *
     * </div>
     * <!-- end release-specific documentation -->
     *
     * @param len the length, in bytes, to which the <code>BLOB</code> value
     *        that this <code>Blob</code> object represents should be truncated
     * @exception SQLException if there is an error accessing the
     *            <code>BLOB</code> value or if len is less than 0
     * @exception SQLFeatureNotSupportedException if the JDBC driver does not support
     * this method
     * @since JDK 1.4, HSQLDB 1.7.2
     * @revised JDK 1.6, HSQLDB 1.8.x
     */
    public void truncate(final long len) throws SQLException {
"
